<p>HT-1000</p>,<p>100000000</p>,<p>Three start. I have some issues like some keys don't work on first instance..and is somewhat slow also</p>
<p>HT-1001</p>,<p>100000001</p>,<p>Heating and not wake up. Check twice when buy it on Offer.</p>
<p>HT-1002</p>,<p>100000002</p>,<p>2nd hand laptops!!! The laptop I received already had an user on it with password etc. These are not new laptops!</p>
<p>HT-1003</p>,<p>100000003</p>,<p>Review: BEST LAPTOP IN A PRICE SEGMENT OF Rs 55-60K.</p>
<p>HT-1010</p>,<p>100000004</p>,<p>Review: second hand product. don't buy this. It is used. battery power is low. stand by power is only 4 hour.</p>
<p>HT-1020</p>,<p>100000005</p>,<p>Review: very bad. My product is not working what do I do ? I have paid everything! This is very very bad .</p>
<p>HT-1030</p>,<p>100000006</p>,<p>Review: waste of money. Battery is draining out very quickly after 2-3 hours of usage. Also it's not lasting for more than 7 days once it's in a sleep mode.Not at all recommend.</p>
<p>HT-1007</p>,<p>100000007</p>,<p>Review: Very bad product. The Serial number on the product and the serial number on the laptop are different.</p>
<p>HT-1040</p>,<p>100000008</p>,<p>Review: One star. Trackpad not working... tried 2 contact amazon.. not picking</p>
<p>HT-1050</p>,<p>100000009</p>,<p>Review: two star.Returned looking for Mac pro.</p>
<p>HT-1000</p>,<p>100000010</p>,<p>Review: Three star. very low memory. Not good buy.</p>
<p>HT-1001</p>,<p>100000011</p>,<p>Review: Bad product. Battery issue with the laptop. Doesn't give backup as expected . Really upset with the product.</p>
<p>HT-1002</p>,<p>100000012</p>,<p>Review: not a good product. charger not working after week use</p>
<p>HT-1003</p>,<p>100000013</p>,<p>Review: better laptop is available in this price segment.</p>
<p>HT-1010</p>,<p>100000014</p>,<p>Review:  have had extremely bad experiences with Apple products. they suffer from a chronic problem which is well known : overheating</p>
<p>HT-1020</p>,<p>100000015</p>,<p>Review: Worst display.. fonts are blurry.. best part is help less amazon care. saying that there is no return policy..</p>
<p>HT-1030</p>,<p>100000016</p>,<p>Review: It’s been just 2 months and the device has already stopped functioning. It doesn’t turn on. I need a replacement. ’m very angry and disappointed.</p>
<p>HT-1007</p>,<p>100000017</p>,<p>Review: Very bad product. The mac book delivered is not at all working this is not expected from such a reputed brand .looking for an immediate replacement or return.</p>
<p>HT-1040</p>,<p>100000018</p>,<p>Review: Fake Product. received A Laptop Without Serial number of screen. unable To Claim Warranty.</p>
<p>HT-1050</p>,<p>100000019</p>,<p>Review: Pathetic product. Below standard quality.</p>
<p>HT-1000</p>,<p>100000020</p>,<p>Review: Price mismatch. never buying such things on amazon ever again</p>
<p>HT-1001</p>,<p>100000021</p>,<p>Review: very poor. disappointed. Defective product.</p>
<p>HT-1002</p>,<p>100000022</p>,<p>Review: Be super careful about the NO COST EMI offer. The step is not shown. I paid the amount and now Kotak refuses to convert my purchase into EMI</p>
<p>HT-1003</p>,<p>100000023</p>,<p>Review: Not good product -: After 6 months it became turn off. It is not starting now.</p>
<p>HT-1010</p>,<p>100000024</p>,<p>Review: Not worthy of 2017 model in 55k bcs before 4 months in sale cut price of 10 k now no discount..only making fool on name of great indian sale</p>
<p>HT-1020</p>,<p>100000025</p>,<p>Review: Amazon late delivery as usual and had so pathetic experience with Amazon courier team this time.</p>
<p>HT-1030</p>,<p>100000026</p>,<p>Review: Overpriced people don't know slot about laptop.Apple products will cost u a lot cuz of its compatibility.</p>
<p>HT-1007</p>,<p>100000027</p>,<p>Review: Worst laptop ever not for student use I repeat not for students.</p>
<p>HT-1040</p>,<p>100000028</p>,<p>Review: Price is very high not worthy</p>
<p>HT-1050</p>,<p>100000029</p>,<p>Review: bad product. Compatible issue for Microsoft office files. not better than window platform.</p>
<p>HT-1000</p>,<p>100000030</p>,<p>Review: Bad Service.After 1 month it doesn't start without any problem and then i have to change main power IC.That become very costly.</p>
<p>HT-1001</p>,<p>100000031</p>,<p>Review: Bad. Received a broken/opened package. most likely a returned package.</p>
<p>HT-1002</p>,<p>100000032</p>,<p>Review: pathetic. Wheel is not working well. Wheel is also very hard to press (to open the link in new window)... Now I use the wheel just to scroll. Usage of wheel as an alternate of Open in New Window is much difficult.</p>
<p>HT-1003</p>,<p>100000033</p>,<p>Review: small in size. so grip in your palm will not be very comfortable.otherwise good product.</p>
<p>HT-1010</p>,<p>100000034</p>,<p>Review: Not able to hold it properly in hand and wire is also too short. I recommend to buy other larger size mouse with slightly more cost</p>
<p>HT-1020</p>,<p>100000035</p>,<p>Review: very bad. The mouse is small for my palm. It is difficult to click. especially double clicks. The click buttons are not very responsive.</p>
<p>HT-1030</p>,<p>100000036</p>,<p>Review: Defective product. not able to print a single page. Carriage struck in the sides of the printer loudly. Now I have to contact HP service. Very painful process</p>
<p>HT-1007</p>,<p>100000037</p>,<p>Review: Very expensive. Cartridge is very expensive....not recommended to buy this product .</p>
<p>HT-1040</p>,<p>100000038</p>,<p>Review: Average product. too bad for pc users.</p>
<p>HT-1050</p>,<p>100000039</p>,<p>Review: Utterly useless printer... TOTALLY unexpected from HP.. Pages getting stuck repeatedly. cartridge issues. abnormal noise.. Not worth even at 90% discount.</p>
<p>HT-1020</p>,<p>100000040</p>,<p>Review: starsExcellent Product and Service by Amazon and Seller.</p>
<p>HT-1030</p>,<p>100000041</p>,<p>Review: starsGood product but not able to login to Facetime.</p>
<p>HT-1007</p>,<p>100000042</p>,<p>Review: Very good product. Perfectly packed & delivered on time. Working good till now.</p>
<p>HT-1040</p>,<p>100000043</p>,<p>Review: One of the Best MacBook from Apple. Thanks to Amazon for fastest delivery and very Competetive Price.</p>
<p>HT-1050</p>,<p>100000044</p>,<p>Review: There is no comparison for apple product. Performance is beyond expectation. Customer service is awesome!! loved it.</p>
<p>HT-1000</p>,<p>100000000</p>,<p>Review: Works great sound is clear and is really loud. Would recommend</p>
<p>HT-1001</p>,<p>100000001</p>,<p>Review: This is a awesome product. My husband and I love it.</p>
<p>HT-1002</p>,<p>100000002</p>,<p>Review: Love the sound that comes out and Alexa is very informative!</p>
<p>HT-1003</p>,<p>100000003</p>,<p>Review: great device to listen to music.best blue tooth on the market today.I highly recommend it</p>
<p>HT-1010</p>,<p>100000004</p>,<p>Review: Excellent product at this price.The performance n battery life is superb for the whole day.Best buy. these days you don't get a compact good performing laptop at this price.</p>
<p>HT-1020</p>,<p>100000005</p>,<p>Review: As everyone knows any Apple product is outstanding and superior to the rest. Its superb. fast and amazing.I recommend buying the AirCase MacBook sleeve ( black and green ) and the MOCA smooth touch battle hard shell skin cover ( grey colour ). Both these products are on amazon.in. both VERY GOOD and must buy products to help improve your MacBook Air experience. ( I do not advertise or sell these products btw)</p>
<p>HT-1030</p>,<p>100000006</p>,<p>Review: The product is what it is and there is nothing to review about its capabilities. I wanted a MacBook and after looking at multiple outlets for prices amazon had the best pricing for this product. (With offers combined).I ordered the product on prime and there was a deficit on stock and by that delayed my delivery by a couple of days. Other than that the product was as expected. Delivery was smooth and as expected. The retailer is Appario retail and to my knowledge is an amazon subsidiary.</p>
<p>HT-1007</p>,<p>100000007</p>,<p>Review: Nice Product! Have been using it since for last 3 months now. No issues faced.</p>
<p>HT-1040</p>,<p>100000008</p>,<p>Review: Its really amazing. Exactly the same experience which I heard and described.Macbook air is really best and affordable to all in broad range of costly apple products...!!</p>
<p>HT-1050</p>,<p>100000009</p>,<p>Review: TSimply amazing! The best ever battery backup! High performance. And not to forget amazon packing and safety for your product is incredible. Love the way they care for your product by the time it reach safe in your hands.</p>
<p>HT-1000</p>,<p>100000010</p>,<p>Review: Got it safe.....when i ordered i was tensed as ....i thgt it might have cracks....but amazing product....thanku apple...thanku .....amazon....thnku for the best courier service</p>
<p>HT-1001</p>,<p>100000011</p>,<p>Review: Don't want to mention anything for apple MAC book :) Super product</p>
<p>HT-1002</p>,<p>100000012</p>,<p>Review: Always apple is the best product.build quality and software works together.u can’t use this one for media purposes.its one time investment for office use.</p>
<p>HT-1003</p>,<p>100000013</p>,<p>Review: its a amazing product for a normal user....amazon had a good packing also</p>
<p>HT-1010</p>,<p>100000014</p>,<p>Review: excellent product with good exchange price... I like product and service</p>
<p>HT-1020</p>,<p>100000015</p>,<p>Review: What a fine piece of design and engineering! If you can get this. DO GET IT.</p>
<p>HT-1030</p>,<p>100000016</p>,<p>Review: warranty details are fine upgraded to high Sierra performing well.. not using it heavily but yes Best Buy for the price. Will update again after usage</p>
<p>HT-1007</p>,<p>100000017</p>,<p>Review: All works fine. No issues or defects till now. Its nearly more than a month from purchase. Nice packaging. Perfectly planned delivery.</p>
<p>HT-1040</p>,<p>100000018</p>,<p>Review: Loving it so far...1 star less because the capslock key is a little defective...doesn't press at once.</p>
<p>HT-1050</p>,<p>100000019</p>,<p>Review: was looking for a light laptop for multimedia use. perfect travel companion. as I was already using iOS ecosystem. was nt tough to shift from windows to apple.</p>
<p>HT-1000</p>,<p>100000020</p>,<p>Review: Best rate got from market value for money great quality</p>
<p>HT-1001</p>,<p>100000021</p>,<p>Review: Not much to be said. apple is always great in quality and the look and feel!!</p>
<p>HT-1002</p>,<p>100000022</p>,<p>Review: 10/10......the best laptop in world. apple products are amazing. you will never regret it buying.</p>
<p>HT-1003</p>,<p>100000023</p>,<p>Review: Fast Processor & user friendly Amazing Battery life !</p>
<p>HT-1010</p>,<p>100000024</p>,<p>Review: Very good and light weight laptop. This is a perfect choice for bloggers. Excellent battery life.</p>
<p>HT-1020</p>,<p>100000025</p>,<p>Review: MacBook..nothing to say. I have been using it since last 4 months.</p>
<p>HT-1030</p>,<p>100000026</p>,<p>Review: Great product. timeless design but flawless. Apple has been best at making things which do what they are suppose to without much fuss and pomp</p>
<p>HT-1007</p>,<p>100000027</p>,<p>Review: Best decision I have ever made. Good purchase.</p>
<p>HT-1040</p>,<p>100000028</p>,<p>Review: Am happy that I switch from Windows to Mac</p>
<p>HT-1050</p>,<p>100000029</p>,<p>Review: First time using Apple product. Amazing experience. Loved it</p>
<p>HT-1000</p>,<p>100000030</p>,<p>Review: Its a fantastic machine. very smooth touchpad. fine keyboard and awesome performance. Now I will never switch to windows and thanks Amazon for giving too much discount.</p>
<p>HT-1001</p>,<p>100000031</p>,<p>Review: Great product as usual from apple. I ordered it for my wife. and she is loving it :-)</p>
<p>HT-1002</p>,<p>100000032</p>,<p>Review: Very good product. Perfectly packed & delivered on time. Working good till now.</p>
<p>HT-1003</p>,<p>100000033</p>,<p>Review: One of the Best MacBook from Apple. Thanks to Amazon for fastest delivery and very Competetive Price.</p>
<p>HT-1010</p>,<p>100000034</p>,<p>Review: The Mac was good but the mouse pad are not wrking properly</p>
<p>HT-1020</p>,<p>100000035</p>,<p>Review: Good product. But we are not getting on line support for any operation issue in macbook.</p>
<p>HT-1030</p>,<p>100000036</p>,<p>Review: Finally a MacBook possession. Worth every penny. A must have for all those who can afford. Got it in 50k in Diwali sale</p>
<p>HT-1007</p>,<p>100000037</p>,<p>Review: Really good is and it is very smooth everything works great but stuff like display and design must be updated.</p>
<p>HT-1040</p>,<p>100000038</p>,<p>Review: Amazing product by Apple and great delivery by Amazon. Kudos to both</p>
<p>HT-1050</p>,<p>100000039</p>,<p>Review: Excellent product and good delivery turnaround time by Amazon</p>
